SchoolName,Graduate,Dropout,All Students,Male,White,English Language Learners,Low-Income,Expenditure,DisciplineInt,Male.p,White.p,ELL.p,Low-Income.p
Wilson,267.0,10.0,289,155,156,11,111,18313297.8,4_to_7,53.63321799307958,53.979238754325266,3.8062283737024223,38.4083044982699
Taholah High School,16.0,3.0,19,9,0,0,16,2215549.9,above_10,47.368421052631575,0.0,0.0,84.21052631578947
Tahoma Senior High School,528.0,36.0,650,324,483,5,77,28364733.7,below_2,49.84615384615385,74.3076923076923,0.7692307692307693,11.846153846153847
Tekoa High School,8.0,1.0,9,5,9,0,4,1915270.0,7_10,55.55555555555556,100.0,0.0,44.44444444444444
Tenino High School,72.0,6.0,94,51,80,2,33,5157539.9,4_to_7,54.25531914893617,85.1063829787234,2.127659574468085,35.1063829787234
Cowlitz Prairie Academy,11.0,1.0,20,7,15,0,15,218248.9,7_10,35.0,75.0,0.0,75.0
Toledo High School,67.0,3.0,73,41,59,0,37,3970282.4,2_to_4,56.16438356164384,80.82191780821918,0.0,50.68493150684932
Tonasket High School,66.0,9.0,73,40,39,3,44,5077210.4,2_to_4,54.794520547945204,53.42465753424658,4.10958904109589,60.273972602739725
Computer Academy Toppenish High School,28.0,30.0,64,37,1,24,63,2656576.9,2_to_4,57.8125,1.5625,37.5,98.4375
Northwest Allprep,20.0,62.0,149,65,118,15,49,1541059.8,below_2,43.624161073825505,79.19463087248322,10.06711409395973,32.88590604026846
Toppenish High School,190.0,3.0,197,93,5,51,179,14202025.7,2_to_4,47.20812182741117,2.5380710659898478,25.888324873096447,90.86294416243655
Foster Senior High School,157.0,28.0,226,127,20,59,164,12768509.1,below_2,56.19469026548673,8.849557522123893,26.10619469026549,72.56637168141593
A G West Black Hills High School,164.0,11.0,188,96,139,0,43,11739185.8,2_to_4,51.06382978723404,73.93617021276596,0.0,22.872340425531913
Cascadia High School,17.0,8.0,77,36,65,0,41,1223427.7,2_to_4,46.75324675324675,84.4155844155844,0.0,53.246753246753244
New Market High School,20.0,7.0,42,30,27,0,16,1219860.8,4_to_7,71.42857142857143,64.28571428571429,0.0,38.095238095238095
Tumwater High School,280.0,5.0,311,157,236,4,87,15068147.3,2_to_4,50.482315112540185,75.88424437299035,1.2861736334405145,27.974276527331188
Curtis Senior High,427.0,13.0,483,237,248,8,157,17162688.7,4_to_7,49.06832298136646,51.345755693581786,1.6563146997929608,32.50517598343685
Paideia High School,10.0,0.0,11,5,9,0,5,1453428.5,7_10,45.45454545454545,81.81818181818183,0.0,45.45454545454545
Columbia River High,279.0,15.0,320,160,234,4,92,14656687.8,2_to_4,50.0,73.125,1.25,28.749999999999996
Fort Vancouver High School,255.0,61.0,336,164,147,61,223,18849846.0,4_to_7,48.80952380952381,43.75,18.154761904761905,66.36904761904762
Hudson's Bay High School,240.0,10.0,237,123,129,15,139,16344047.9,2_to_4,51.89873417721519,54.43037974683544,6.329113924050633,58.64978902953587
Skyview High School,459.0,5.0,460,245,324,9,92,21262957.6,2_to_4,53.2608695652174,70.43478260869566,1.956521739130435,20.0
Student Link,9.0,0.0,21,12,16,1,11,515670.1,7_10,57.14285714285714,76.19047619047619,4.761904761904762,52.38095238095239
Vashon Island High School,110.0,7.0,123,65,101,2,17,7385223.2,below_2,52.84552845528455,82.11382113821138,1.6260162601626018,13.821138211382115
Wahkiakum High School,31.0,0.0,39,24,35,0,25,2810328.2,7_10,61.53846153846154,89.74358974358975,0.0,64.1025641025641
Sentinel Tech Alt School,4.0,7.0,6,5,0,3,6,190626.5,7_10,83.33333333333334,0.0,50.0,100.0
Wahluke High School,125.0,9.0,142,63,4,36,113,9468377.6,4_to_7,44.36619718309859,2.8169014084507045,25.352112676056336,79.5774647887324
Walla Walla High School,358.0,23.0,417,201,239,12,192,20653926.8,2_to_4,48.201438848920866,57.31414868105516,2.877697841726619,46.043165467625904
Walla Walla Open Doors,7.0,46.0,124,65,77,3,70,971383.3,below_2,52.41935483870967,62.096774193548384,2.4193548387096775,56.451612903225815
