,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineRate,Expenditure
45,Kitsap,18401.0,Central Kitsap School District,4100.0,Olympic High School,P,12th Grade,281,127,0,154,1,27,10,46,5,58,134,8,0,0,0,124,0,19,7,16,33,273,280,281,281,157,281,280.0,28.0,1.0,1.0,2.0,6.0,37.0,271.0,245.0,16.0,10.0,0.9041,<1%,17141436.2
46,Spokane,32356.0,Central Valley School District,3065.0,Central Valley High School,P,12th Grade,541,249,0,292,3,20,4,2,8,30,474,19,0,7,7,145,0,3,16,26,31,522,540,534,534,396,541,477.0,89.0,6.0,13.0,11.0,6.0,24.0,542.0,455.0,51.0,36.0,0.8395,4.50%,25819308.2
47,Spokane,32356.0,Central Valley School District,5328.0,CVSD Open Doors Programs,R,12th Grade,68,29,0,39,2,1,0,0,0,4,61,2,0,0,4,25,0,0,27,2,4,66,67,68,64,43,68,37.0,7.0,,1.0,8.0,12.0,1.0,43.0,6.0,16.0,21.0,0.1395,<3%,147632.4
48,Spokane,32356.0,Central Valley School District,3918.0,Mica Peak High School,A,12th Grade,65,27,0,38,2,1,2,0,0,3,57,0,0,4,6,30,0,0,14,0,14,65,65,61,59,35,65,64.0,6.0,3.0,,,7.0,2.0,68.0,44.0,14.0,10.0,0.6471,<4%,3789455.4
49,Spokane,32356.0,Central Valley School District,3415.0,University High School,P,12th Grade,418,194,0,224,9,6,10,4,3,27,359,2,0,103,22,175,0,0,8,0,58,416,413,315,396,243,418,406.0,49.0,3.0,3.0,3.0,13.0,23.0,432.0,392.0,18.0,22.0,0.9074,6.80%,24393868.1
50,Lewis,21401.0,Centralia School District,2166.0,Centralia High School,P,12th Grade,244,124,0,120,3,1,6,72,0,5,157,11,0,8,17,143,3,4,23,9,36,233,241,236,227,101,241,217.0,36.0,1.0,1.0,5.0,10.0,49.0,204.0,178.0,9.0,17.0,0.8725,7.10%,15309432.1
51,Lewis,21401.0,Centralia School District,5359.0,Futurus High School,A,12th Grade,28,17,0,11,0,0,2,10,0,2,13,0,0,0,7,22,1,0,9,0,2,28,28,28,21,6,27,25.0,2.0,,1.0,3.0,3.0,6.0,21.0,7.0,7.0,7.0,0.3333,<6%,679222.4
52,Lewis,21302.0,Chehalis School District,5369.0,Lewis County Alternative School,A,12th Grade,27,13,0,14,0,0,0,9,0,1,17,2,0,0,1,17,2,0,10,0,5,25,27,27,26,10,25,24.0,6.0,,1.0,2.0,10.0,2.0,28.0,11.0,4.0,13.0,0.3929,<6%,389792.4
53,Lewis,21302.0,Chehalis School District,2799.0,W F West High School,P,12th Grade,231,118,0,113,0,6,1,34,0,12,178,4,0,12,16,82,3,2,9,13,36,227,228,219,215,149,228,205.0,19.0,,3.0,,2.0,28.0,196.0,186.0,5.0,5.0,0.949,<1%,12500014.9
54,Spokane,32360.0,Cheney School District,3610.0,Cheney High School,P,12th Grade,278,131,0,147,1,8,1,24,3,16,225,4,0,38,7,117,0,7,14,6,25,274,276,240,271,161,278,286.0,41.0,1.0,3.0,5.0,6.0,55.0,272.0,242.0,15.0,15.0,0.8897,3.40%,15613195.2
55,Spokane,32360.0,Cheney School District,5396.0,Cheney Open Doors,R,12th Grade,8,6,0,2,1,0,0,1,0,0,6,0,0,0,0,4,0,0,4,0,0,8,8,8,8,4,8,17.0,,,,4.0,7.0,0.0,17.0,2.0,4.0,11.0,0.1176,<10%,26487.7
56,Spokane,32360.0,Cheney School District,1769.0,Three Springs High School,A,12th Grade,11,7,0,4,0,0,0,1,0,0,10,0,0,2,3,7,0,0,2,2,0,11,11,9,8,4,11,15.0,2.0,1.0,1.0,2.0,3.0,2.0,15.0,6.0,2.0,7.0,0.4,<10%,706439.7
57,Stevens,33036.0,Chewelah School District,1763.0,Quartzite Learning,A,12th Grade,16,7,1,8,0,0,0,0,0,1,15,0,0,0,2,8,0,0,4,0,0,16,16,16,14,8,16,21.0,6.0,,,1.0,1.0,2.0,25.0,14.0,9.0,2.0,0.56,<10%,1057568.0
58,Pierce,27901.0,Chief Leschi Schools,5549.0,Chief Leschi Schools,Q,12th Grade,43,21,0,22,37,0,1,3,0,1,1,0,0,0,0,0,0,0,6,2,9,43,43,43,43,43,43,33.0,4.0,,,,7.0,3.0,34.0,24.0,3.0,7.0,0.7059,<7%,5982052.4
59,Jefferson,16049.0,Chimacum School District,3275.0,Chimacum Junior/Senior High School,P,12th Grade,75,46,0,29,1,2,2,5,0,6,59,3,0,9,1,25,0,1,4,6,9,72,75,66,74,50,75,77.0,12.0,,,3.0,2.0,11.0,78.0,71.0,2.0,5.0,0.9103,7.20%,4018224.5
